Province,Tumbol,solar_energy,total,plowing(All),spray_fertilizer,pumping_water,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ALL
Pathum Thani,Nopparat,18.05,1757,1280,432,45,17.442,19.2037,20.1495,20.9894,19.3535,18.2315,17.5334,17.0862,17.1643,17.5882,17.2859,16.7757,18.2336
Pathum Thani,Rangchan,18.33,1757,1280,432,45,17.3333,19.0398,19.9089,21.0684,19.1768,18.5748,17.9609,17.6075,17.7763,17.6611,17.358,16.8315,18.3581
Pathum Thani,Lat Lum Kaeo,18.13,1757,1280,432,45,17.2752,19.1219,20.0082,20.9773,19.0058,18.378,17.7673,17.3713,17.8265,17.5132,17.279,16.7539,18.2731
Pathum Thani,Ku Bang Luang,18.11,1757,1280,432,45,17.2644,19.1177,19.9867,20.9219,19.0103,18.3827,17.7357,17.3141,17.7062,17.544,17.232,16.7058,18.2435
Pathum Thani,Ku Kwang,18.27,1757,1280,432,45,17.3052,19.0536,19.9052,20.9438,19.1733,18.5003,17.9287,17.486,17.764,17.7035,17.2989,16.7997,18.3218
Pathum Thani,Khlong Phra Udom,18.02,1757,1280,432,45,17.3283,19.0666,19.841,20.7873,18.8558,18.3202,17.6742,17.2273,17.6356,17.4196,17.087,16.7611,18.167
Pathum Thani,Bo Ngern,18.38,1757,1280,432,45,17.3699,19.2282,20.0064,21.1607,19.3409,18.6391,17.9204,17.6075,17.7764,17.7379,17.4189,16.895,18.4251
Pathum Thani,Na Mai,18.33,1757,1280,432,45,17.3572,19.2131,20.0626,21.0842,19.2434,18.5683,17.9076,17.5991,17.7956,17.5627,17.3019,16.8508,18.3789
Pathum Thani,Ku Khat,17.48,1757,1280,432,45,17.2804,18.7679,19.6752,20.3006,18.2723,17.8463,17.0139,16.8008,17.2151,17.6124,17.4298,16.9131,17.9273
Pathum Thani,Lat Sawai,17.47,1757,1280,432,45,17.4556,19.1051,19.8203,20.5327,18.5306,17.766,16.9146,16.6712,17.262,17.9385,17.5454,17.0402,18.0485
Pathum Thani,Bueng Kham Phroi,17.58,1757,1280,432,45,17.4903,19.1122,19.894,20.6276,18.6815,17.9023,16.9396,16.7849,17.4013,18.0207,17.5314,16.9482,18.1112
Pathum Thani,Lam Luk Ka,17.66,1757,1280,432,45,17.6075,19.1452,19.8792,20.7555,18.7334,17.9103,17.1051,16.876,17.4122,18.1436,17.5013,17.0647,18.1778
Pathum Thani,Bueng Thonglang,17.7,1757,1280,432,45,17.5498,19.1335,19.8857,20.7777,18.8741,17.9343,17.0794,16.9125,17.4774,18.0699,17.5298,17.0426,18.1889
Pathum Thani,Lam Sai,17.69,1757,1280,432,45,17.5579,19.1822,19.8661,20.8345,18.8688,18.034,17.0016,16.8429,17.4839,18.2091,17.6705,17.062,18.2178
Pathum Thani,Bueng Kho Hai,17.8,1757,1280,432,45,17.5514,19.2278,19.9836,20.9225,18.9973,18.1158,17.1229,16.9462,17.5327,18.1687,17.5607,16.9848,18.2595
Pathum Thani,Phet Udomsuek,17.73,1757,1280,432,45,17.5767,19.2628,19.9471,20.9073,18.9333,18.0722,16.9655,16.9408,17.5115,18.3051,17.6849,17.0121,18.2599
Pathum Thani,Bang Toei,18.23,1757,1280,432,45,17.2741,19.0637,19.9178,20.7738,19.196,18.4668,17.812,17.4435,17.7954,17.7448,17.2747,16.672,18.2862
Pathum Thani,Khlong Khwai,18.32,1757,1280,432,45,17.2885,19.0204,19.8621,20.828,19.2821,18.5392,17.9092,17.5609,17.8067,17.694,17.3532,16.6909,18.3196
Pathum Thani,Sam Khok,18.06,1757,1280,432,45,17.2171,18.7767,19.6335,20.5023,18.9328,18.3223,17.6696,17.3347,17.5596,17.6086,17.2033,16.7347,18.1246
Pathum Thani,Krachaeng,17.98,1757,1280,432,45,17.1896,18.7607,19.6496,20.4205,18.8248,18.2316,17.5836,17.2987,17.6068,17.555,17.2447,16.767,18.0944
Pathum Thani,Bang Pho Nuea,18.07,1757,1280,432,45,17.1715,18.8537,19.741,20.5866,18.9396,18.322,17.7558,17.2502,17.6725,17.5868,17.1613,16.671,18.1426
Pathum Thani,Chiang Rak Yai,17.99,1757,1280,432,45,17.1694,18.8042,19.7537,20.4074,18.8069,18.3356,17.5778,17.2414,17.5844,17.4156,17.1775,16.7527,18.0856
Pathum Thani,Ban Pathum,18.08,1757,1280,432,45,17.1695,18.813,19.6563,20.4866,18.933,18.4073,17.6946,17.2869,17.6742,17.4823,17.2282,16.7676,18.1333
Pathum Thani,Ban Ngiu,18.14,1757,1280,432,45,17.2182,18.8682,19.7929,20.5632,18.9876,18.4124,17.7814,17.3681,17.5997,17.6034,17.2713,16.8309,18.1914
Pathum Thani,Chiang Rak Noi,18.15,1757,1280,432,45,17.1749,18.6538,19.6251,20.4186,18.999,18.4207,17.8038,17.3877,17.5384,17.4493,17.2505,16.7262,18.1207
Pathum Thani,Bang Krabue,18.21,1757,1280,432,45,17.2586,18.8829,19.837,20.548,19.0415,18.4764,17.8589,17.4653,17.6163,17.6532,17.3231,16.7504,18.226
Pathum Thani,Thai Ko,18.33,1757,1280,432,45,17.1907,18.8782,19.8702,20.7522,19.1895,18.5657,18.0364,17.5381,17.7585,17.7406,17.3637,16.8147,18.3082
Bangkok,Phraborommaharatchawang,17.85,1757,1280,432,45,18.9077,18.1662,17.3224,17.0051,,,,,,,,,
Bangkok,Wang Burapha Phirom,17.86,1757,1280,432,45,18.9035,18.1576,17.3166,17.0717,,,,,,,,,
Bangkok,Wat Rat Baphit,17.85,1757,1280,432,45,18.9077,18.1662,17.3224,17.0051,,,,,,,,,
Bangkok,Samran Rat,17.85,1757,1280,432,45,18.9077,18.1662,17.3224,17.0051,,,,,,,,,
Bangkok,San Chaopho Suea,17.85,1757,1280,432,45,18.9077,18.1662,17.3224,17.0051,,,,,,,,,
Bangkok,Sao Chingcha,17.85,1757,1280,432,45,18.9077,18.1662,17.3224,17.0051,,,,,,,,,
Bangkok,Bawon Niwet,17.85,1757,1280,432,45,18.9077,18.1662,17.3224,17.0051,,,,,,,,,
Bangkok,Talat Yot,17.85,1757,1280,432,45,18.9077,18.1662,17.3224,17.0051,,,,,,,,,
Bangkok,Chana Songkhram,17.85,1757,1280,432,45,18.9077,18.1662,17.3224,17.0051,,,,,,,,,
Bangkok,Ban Phan Thom,17.85,1757,1280,432,45,18.9077,18.1662,17.3224,17.0051,,,,,,,,,
Bangkok,Bang KhunPhrom,17.73,1757,1280,432,45,18.674,18.0268,17.2516,16.9544,,,,,,,,,
Bangkok,Wat Sam Phraya,17.78,1757,1280,432,45,18.7681,18.1394,17.3012,16.9188,,,,,,,,,
Bangkok,Dusit,17.73,1757,1280,432,45,18.674,18.0268,17.2516,16.9544,,,,,,,,,
Bangkok,Wachira Phayaban,17.73,1757,1280,432,45,18.674,18.0268,17.2516,16.9544,,,,,,,,,
Bangkok,Suan Chittralada,17.73,1757,1280,432,45,18.674,18.0268,17.2516,16.9544,,,,,,,,,
Bangkok,Si Yaek Maha Nak,17.81,1757,1280,432,45,18.8105,18.1342,17.3139,16.9934,,,,,,,,,
Bangkok,Thanon Nakhon Chai Si,17.61,1757,1280,432,45,18.5766,17.9145,17.1522,16.7922,,,,,,,,,
Bangkok,Krathum Rai,17.74,1757,1280,432,45,18.8516,18.0799,17.0447,16.973,,,,,,,,,
Bangkok,Nong Chok,17.63,1757,1280,432,45,18.7626,18.0133,16.8597,16.888,,,,,,,,,
Bangkok,Khlong Sip,17.64,1757,1280,432,45,18.8611,17.9727,16.9365,16.8036,,,,,,,,,
Bangkok,Khlong Sip Song,17.59,1757,1280,432,45,18.7628,17.9031,16.8432,16.8698,,,,,,,,,
Bangkok,Khok Faet,17.6,1757,1280,432,45,18.7268,17.9171,16.902,16.8442,,,,,,,,,
Bangkok,Khu Fang Nuea,17.58,1757,1280,432,45,18.7302,17.9919,16.8083,16.7715,,,,,,,,,
Bangkok,Lam Phakchi,17.69,1757,1280,432,45,18.8241,17.9953,17.0357,16.9041,,,,,,,,,
Bangkok,Lam Toi Ting,17.87,1757,1280,432,45,18.948,18.2346,17.2218,17.0894,,,,,,,,,
Bangkok,Maha Pharue Tha Ram,17.81,1757,1280,432,45,18.8682,18.1405,17.2566,16.9622,,,,,,,,,
Bangkok,Silom,17.83,1757,1280,432,45,18.9058,18.2018,17.2333,16.9669,,,,,,,,,
Bangkok,Su Riya Wong,17.83,1757,1280,432,45,18.9058,18.2018,17.2333,16.9669,,,,,,,,,
Bangkok,BangRak,17.87,1757,1280,432,45,18.955,18.1986,17.2829,17.0285,,,,,,,,,
Bangkok,Si Phraya,17.79,1757,1280,432,45,18.8295,18.1575,17.2471,16.9179,,,,,,,,,
Bangkok,Anusawari,17.41,1757,1280,432,45,18.2943,17.7413,16.8844,16.713,,,,,,,,,
Bangkok,Tha Raeng,17.36,1757,1280,432,45,18.3857,17.6899,16.8007,16.5456,,,,,,,,,
Bangkok,Khlong Chan,17.42,1757,1280,432,45,18.5242,17.7288,16.9118,16.5288,,,,,,,,,
Bangkok,Hua Mak,17.53,1757,1280,432,45,18.5754,17.8372,17.0081,16.7027,,,,,,,,,
Bangkok,RongMueang,17.81,1757,1280,432,45,18.8682,18.1405,17.2566,16.9622,,,,,,,,,
Bangkok,Wang Mai,17.79,1757,1280,432,45,18.8295,18.1575,17.2471,16.9179,,,,,,,,,
Bangkok,PathumWan,17.79,1757,1280,432,45,18.8295,18.1575,17.2471,16.9179,,,,,,,,,
Bangkok,Lum Phi Ni,17.75,1757,1280,432,45,18.7705,18.1358,17.1785,16.8955,,,,,,,,,
Bangkok,Pom Prap,17.81,1757,1280,432,45,18.8682,18.1405,17.2566,16.9622,,,,,,,,,
Bangkok,Wat Thep Si Rin,17.81,1757,1280,432,45,18.8105,18.1342,17.3139,16.9934,,,,,,,,,
Bangkok,Khlong Maha Nak,17.81,1757,1280,432,45,18.8105,18.1342,17.3139,16.9934,,,,,,,,,
Bangkok,Ban Bat,17.81,1757,1280,432,45,18.8105,18.1342,17.3139,16.9934,,,,,,,,,
Bangkok,Wat Sommanat,17.81,1757,1280,432,45,18.8105,18.1342,17.3139,16.9934,,,,,,,,,
Bangkok,Bang Chak,17.85,1757,1280,432,45,18.7828,18.2109,17.3563,17.0672,,,,,,,,,
Bangkok,PhraKhanong Tai,17.85,1757,1280,432,45,18.7808,18.2355,17.3354,17.044,,,,,,,,,
Bangkok,Min Buri,17.4,1757,1280,432,45,18.4871,17.7558,16.8159,16.5467,,,,,,,,,
Bangkok,Saen Saep,17.52,1757,1280,432,45,18.6888,17.9024,16.8108,16.6806,,,,,,,,,
Bangkok,Lat Krabang,17.76,1757,1280,432,45,18.6838,18.0726,17.1976,17.0945,,,,,,,,,
Bangkok,Khlong Song Ton Nun,17.6,1757,1280,432,45,18.5986,17.9798,17.0126,16.8288,,,,,,,,,
Bangkok,Khlong Sam Prawet,17.62,1757,1280,432,45,18.6846,17.9999,16.9642,16.8212,,,,,,,,,
Bangkok,Lam Pla Thio,17.7,1757,1280,432,45,18.7701,18.0629,17.0322,16.9214,,,,,,,,,
Bangkok,Thap Yao,17.85,1757,1280,432,45,18.8587,18.1567,17.2988,17.0782,,,,,,,,,
Bangkok,KhumThong,17.96,1757,1280,432,45,19.0211,18.2563,17.3323,17.2176,,,,,,,,,
Bangkok,Chong Nonsi,17.93,1757,1280,432,45,18.967,18.2263,17.4586,17.0669,,,,,,,,,
Bangkok,Bang Phongphang,18.09,1757,1280,432,45,19.1665,18.4512,17.5385,17.2065,,,,,,,,,
Bangkok,Chakkrawat,17.81,1757,1280,432,45,18.8682,18.1405,17.2566,16.9622,,,,,,,,,
Bangkok,Samphanthawong,17.81,1757,1280,432,45,18.8682,18.1405,17.2566,16.9622,,,,,,,,,
Bangkok,Talat Noi,17.81,1757,1280,432,45,18.8682,18.1405,17.2566,16.9622,,,,,,,,,
Bangkok,Sam Sen Nai,17.6,1757,1280,432,45,18.5964,17.9354,17.1027,16.7706,,,,,,,,,
Bangkok,PhayaThai,17.61,1757,1280,432,45,18.5766,17.9145,17.1522,16.7922,,,,,,,,,
Bangkok,Wat Kan Ya,17.86,1757,1280,432,45,18.9035,18.1576,17.3166,17.0717,,,,,,,,,
Bangkok,Hiran Ruchi,17.86,1757,1280,432,45,18.9035,18.1576,17.3166,17.0717,,,,,,,,,
Bangkok,Bang Yi Ruea,17.94,1757,1280,432,45,18.9821,18.217,17.4341,17.1209,,,,,,,,,
Bangkok,Bu Khok Lo,17.99,1757,1280,432,45,19.0664,18.2306,17.4253,17.2288,,,,,,,,,
Bangkok,Talat Phlu,17.99,1757,1280,432,45,19.0664,18.2306,17.4253,17.2288,,,,,,,,,
Bangkok,Dao Khanong,18.1,1757,1280,432,45,19.2277,18.4092,17.5501,17.2037,,,,,,,,,
Bangkok,Samre,17.94,1757,1280,432,45,18.9821,18.217,17.4341,17.1209,,,,,,,,,
Bangkok,Wat Arun,17.86,1757,1280,432,45,18.9035,18.1576,17.3166,17.0717,,,,,,,,,
Bangkok,Wat Tha Phra,17.93,1757,1280,432,45,19.0023,18.2285,17.3561,17.1255,,,,,,,,,
Bangkok,Huai Khwang,17.55,1757,1280,432,45,18.5982,17.8792,17.0345,16.7014,,,,,,,,,
Bangkok,BangKapi,17.62,1757,1280,432,45,18.6191,17.9641,17.1073,16.8061,,,,,,,,,
Bangkok,Sam Sen Nok,17.5,1757,1280,432,45,18.4952,17.8874,16.9346,16.6744,,,,,,,,,
Bangkok,Somdet ChaoPhraya,17.86,1757,1280,432,45,18.9035,18.1576,17.3166,17.0717,,,,,,,,,
Bangkok,KhlongSan,17.81,1757,1280,432,45,18.8682,18.1405,17.2566,16.9622,,,,,,,,,
Bangkok,Bang LamPhu Lang,17.94,1757,1280,432,45,18.9821,18.217,17.4341,17.1209,,,,,,,,,
Bangkok,Khlong Ton Sai,17.87,1757,1280,432,45,18.955,18.1986,17.2829,17.0285,,,,,,,,,
Bangkok,Khlong Chakphra,17.87,1757,1280,432,45,18.9587,18.1999,17.3465,16.9927,,,,,,,,,
Bangkok,Taling Chan,17.86,1757,1280,432,45,18.8767,18.2181,17.3091,17.0204,,,,,,,,,
Bangkok,Chimphli,17.91,1757,1280,432,45,18.9879,18.2211,17.3618,17.0535,,,,,,,,,
Bangkok,Bang Phrom,17.98,1757,1280,432,45,19.0504,18.2874,17.4655,17.098,,,,,,,,,
Bangkok,Bang Ramat,17.95,1757,1280,432,45,19.0561,18.2263,17.4118,17.1229,,,,,,,,,
Bangkok,Bang Chueak Nang,17.99,1757,1280,432,45,19.0399,18.3656,17.4344,17.1006,,,,,,,,,
Bangkok,Siri Rat,17.92,1757,1280,432,45,18.9987,18.2336,17.3896,17.044,,,,,,,,,
Bangkok,Ban Chang Lo,17.92,1757,1280,432,45,18.9987,18.2336,17.3896,17.044,,,,,,,,,
Bangkok,Bang Khun Non,17.87,1757,1280,432,45,18.9587,18.1999,17.3465,16.9927,,,,,,,,,
Bangkok,Bang Khun Si,17.95,1757,1280,432,45,19.0444,18.259,17.4272,17.0617,,,,,,,,,
Bangkok,Arun Amarin,17.85,1757,1280,432,45,18.8876,18.1704,17.3699,16.9708,,,,,,,,,
Bangkok,Tha Kham,19.03,1757,1280,432,45,20.0698,19.2824,18.4867,18.2926,,,,,,,,,
Bangkok,Samae Dam,18.57,1757,1280,432,45,19.6019,18.8408,17.9967,17.8339,,,,,,,,,
Bangkok,Bang Wa,18.02,1757,1280,432,45,19.122,18.2957,17.476,17.189,,,,,,,,,
Bangkok,Bang Duan,18.02,1757,1280,432,45,19.122,18.2957,17.476,17.189,,,,,,,,,
Bangkok,Bang Chak,17.99,1757,1280,432,45,19.0884,18.3227,17.3862,17.1816,,,,,,,,,
Bangkok,Bang Waek,17.99,1757,1280,432,45,19.1218,18.3289,17.393,17.1254,,,,,,,,,
Bangkok,Khlong Khwang,18.01,1757,1280,432,45,19.1193,18.3465,17.4283,17.1581,,,,,,,,,
Bangkok,Pak Khlong PhasiCharoen,18.03,1757,1280,432,45,19.1452,18.2687,17.4806,17.2238,,,,,,,,,
Bangkok,Khuha Sawan,17.99,1757,1280,432,45,19.0884,18.3227,17.3862,17.1816,,,,,,,,,
Bangkok,Nong Khaem,18.13,1757,1280,432,45,19.2923,18.3704,17.5371,17.3373,,,,,,,,,
Bangkok,Nong Khang Phlu,18.05,1757,1280,432,45,19.0999,18.3733,17.4887,17.2189,,,,,,,,,
Bangkok,RatBurana,18.28,1757,1280,432,45,19.3045,18.6427,17.756,17.4328,,,,,,,,,
Bangkok,Bang Pa Kok,18.14,1757,1280,432,45,19.1862,18.4938,17.6121,17.2648,,,,,,,,,
Bangkok,BangPhlat,17.75,1757,1280,432,45,18.722,18.0453,17.265,16.9716,,,,,,,,,
Bangkok,Bang O,17.68,1757,1280,432,45,18.5425,17.9826,17.2796,16.9059,,,,,,,,,
Bangkok,Bang Bam Ru,17.77,1757,1280,432,45,18.7463,18.0987,17.2762,16.9646,,,,,,,,,
Bangkok,Bang Yi Khan,17.78,1757,1280,432,45,18.7681,18.1394,17.3012,16.9188,,,,,,,,,
Bangkok,Dindaeng,17.55,1757,1280,432,45,18.538,17.9017,17.0236,16.734,,,,,,,,,
Bangkok,Ratchadaphisek,17.52,1757,1280,432,45,18.4648,17.8343,17.0431,16.7178,,,,,,,,,
Bangkok,Khlong Kum,17.43,1757,1280,432,45,18.4639,17.7625,16.8877,16.6022,,,,,,,,,
Bangkok,Nawa Min,17.41,1757,1280,432,45,18.4267,17.743,16.8611,16.6027,,,,,,,,,
Bangkok,NuanChan,17.37,1757,1280,432,45,18.4057,17.6948,16.8121,16.5596,,,,,,,,,
Bangkok,Thung Wat Don,17.96,1757,1280,432,45,19.0747,18.2984,17.3882,17.0944,,,,,,,,,
Bangkok,Yan Nawa,17.87,1757,1280,432,45,18.955,18.1986,17.2829,17.0285,,,,,,,,,
Bangkok,Thung Mahamek,17.82,1757,1280,432,45,18.8603,18.1693,17.2673,16.9736,,,,,,,,,
Bangkok,BangSue,17.62,1757,1280,432,45,18.498,17.9239,17.2081,16.8664,,,,,,,,,
Bangkok,WongSawang,17.61,1757,1280,432,45,18.4935,17.9136,17.1825,16.8434,,,,,,,,,
Bangkok,LatYao,17.43,1757,1280,432,45,18.3181,17.7655,16.9213,16.7146,,,,,,,,,
Bangkok,Sena Nikhom,17.43,1757,1280,432,45,18.2917,17.7431,16.9121,16.7604,,,,,,,,,
Bangkok,Chanthara Kasem,17.44,1757,1280,432,45,18.3364,17.8333,16.8878,16.7171,,,,,,,,,
Bangkok,Chomphon,17.51,1757,1280,432,45,18.4631,17.8777,17.0004,16.6795,,,,,,,,,
Bangkok,Chatuchak,17.56,1757,1280,432,45,18.5126,17.8473,17.0735,16.8184,,,,,,,,,
Bangkok,BangKholaem,18.05,1757,1280,432,45,19.1493,18.2907,17.5261,17.2294,,,,,,,,,
Bangkok,Wat Phraya Krai,17.99,1757,1280,432,45,19.14,18.2557,17.4011,17.1639,,,,,,,,,
Bangkok,Bang Khon,17.99,1757,1280,432,45,19.14,18.2557,17.4011,17.1639,,,,,,,,,
Bangkok,Prawet,17.78,1757,1280,432,45,18.7321,18.1115,17.3166,16.9606,,,,,,,,,
Bangkok,Nong Bon,17.92,1757,1280,432,45,18.8198,18.2167,17.4436,17.215,,,,,,,,,
Bangkok,Dokmai,17.98,1757,1280,432,45,18.8326,18.2851,17.5394,17.2528,,,,,,,,,
Bangkok,KhlongToei,17.8,1757,1280,432,45,18.8126,18.1458,17.3101,16.9133,,,,,,,,,
Bangkok,Khlong Tan,17.8,1757,1280,432,45,18.8126,18.1458,17.3101,16.9133,,,,,,,,,
Bangkok,PhraKhanong,17.79,1757,1280,432,45,18.7777,18.1283,17.2799,16.9544,,,,,,,,,
Bangkok,SuanLuang,17.66,1757,1280,432,45,18.6976,18.0165,17.0974,16.8477,,,,,,,,,
Bangkok,On Nut,17.76,1757,1280,432,45,18.7244,18.078,17.3006,16.9184,,,,,,,,,
Bangkok,Phatthanakan,17.7,1757,1280,432,45,18.697,18.0736,17.1522,16.8606,,,,,,,,,
Bangkok,BangKhunThian,18.1,1757,1280,432,45,19.2318,18.3789,17.5207,17.2555,,,,,,,,,
Bangkok,Bang Kho,18.1,1757,1280,432,45,19.2277,18.4092,17.5501,17.2037,,,,,,,,,
Bangkok,BangMot,18.3,1757,1280,432,45,19.3889,18.6027,17.7672,17.4516,,,,,,,,,
Bangkok,ChomThong,18.18,1757,1280,432,45,19.3106,18.5027,17.6333,17.2918,,,,,,,,,
Bangkok,Si Kan,17.49,1757,1280,432,45,18.2334,17.8463,17.1277,16.7395,,,,,,,,,
Bangkok,DonMueang,17.4,1757,1280,432,45,18.2038,17.7231,16.9641,16.6936,,,,,,,,,
Bangkok,Sanambin,17.36,1757,1280,432,45,18.1518,17.6912,16.8841,16.7082,,,,,,,,,
Bangkok,Thung PhayaThai,17.69,1757,1280,432,45,18.6451,18.0377,17.2165,16.8765,,,,,,,,,
Bangkok,Thanon PhayaThai,17.75,1757,1280,432,45,18.7865,18.0675,17.2022,16.9494,,,,,,,,,
Bangkok,Thanon Phetchaburi,17.75,1757,1280,432,45,18.7865,18.0675,17.2022,16.9494,,,,,,,,,
Bangkok,Makkasan,17.68,1757,1280,432,45,18.6321,18.0584,17.168,16.8521,,,,,,,,,
Bangkok,Lat Phrao,17.42,1757,1280,432,45,18.3146,17.8053,16.8273,16.7382,,,,,,,,,
